"","ticker","zero column","date","time","open","high","low","close","vol","second zero column"
"941190","ORANGEPL",0,20200922,103305,7.1,7.105,7.1,7.105,2891,0
"941191","ORANGEPL",0,20200922,103306,7.105,7.11,7.105,7.105,3945,0
"941192","ORANGEPL",0,20200922,103308,7.1,7.12,7.1,7.12,3848,0
"941193","ORANGEPL",0,20200922,103311,7.1,7.1,7.1,7.1,1662,0
"941194","ORANGEPL",0,20200922,103315,7.1,7.1,7.1,7.1,554,0
"941195","ORANGEPL",0,20200922,103334,7.12,7.12,7.12,7.12,1,0
"941196","ORANGEPL",0,20200922,103705,7.11,7.11,7.11,7.11,500,0
"941197","ORANGEPL",0,20200922,103706,7.12,7.12,7.12,7.12,8,0
"941198","ORANGEPL",0,20200922,103804,7.105,7.105,7.105,7.105,997,0
"941199","ORANGEPL",0,20200922,103811,7.1,7.1,7.1,7.1,525,0
"941200","ORANGEPL",0,20200922,103826,7.12,7.12,7.12,7.12,1,0
"941201","ORANGEPL",0,20200922,103853,7.12,7.12,7.1,7.12,11687,0
"941202","ORANGEPL",0,20200922,103854,7.125,7.125,7.125,7.125,445,0
"941203","ORANGEPL",0,20200922,103856,7.105,7.125,7.105,7.125,1815,0
"941204","ORANGEPL",0,20200922,103857,7.1,7.1,7.1,7.1,923,0
"941205","ORANGEPL",0,20200922,103858,7.105,7.105,7.105,7.105,2080,0
"941206","ORANGEPL",0,20200922,103859,7.105,7.105,7.105,7.105,1713,0
"941207","ORANGEPL",0,20200922,103902,7.13,7.13,7.13,7.13,1,0
"941208","ORANGEPL",0,20200922,103904,7.115,7.115,7.115,7.115,204,0
"941209","ORANGEPL",0,20200922,103918,7.125,7.125,7.125,7.125,1,0
"941210","ORANGEPL",0,20200922,103940,7.125,7.125,7.125,7.125,199,0
"941211","ORANGEPL",0,20200922,103942,7.13,7.13,7.13,7.13,1261,0
"941212","ORANGEPL",0,20200922,104127,7.135,7.135,7.135,7.135,1825,0
"941213","ORANGEPL",0,20200922,104240,7.14,7.14,7.14,7.14,394,0
"941214","ORANGEPL",0,20200922,104245,7.14,7.14,7.14,7.14,921,0
"941215","ORANGEPL",0,20200922,104334,7.145,7.145,7.145,7.145,908,0
